IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00188 -0.000145331 -0.0000926112 -0.0000715625 -0.0000670947 -0.0000604125 -0.0000552468 -0.0000490245 -0.0000450488 -0.0000406545 -0.0000368474 -0.0000368474
GSP_Buckner_HU_00190 -0.0000973534 -0.0000670709 -0.0000588363 -0.000059425 -0.0000548109 -0.0000494107 -0.0000443848 -0.0000412936 -0.0000377752 -0.0000343242 -0.0000343242
GSP_Buckner_HU_00193 -0.000132866 -0.000101974 -0.000087453 -0.0000820718 -0.0000727072 -0.0000661196 -0.0000590676 -0.0000542802 -0.0000490765 -0.0000443441 -0.0000443441
GSP_Buckner_HU_00194 -0.0000835179 -0.0000591281 -0.0000519669 -0.0000529737 -0.0000481862 -0.0000432692 -0.0000384279 -0.0000357674 -0.0000324276 -0.0000293542 -0.0000293542
GSP_Buckner_HU_00195 -0.000238324 -0.000170092 -0.000133689 -0.000120194 -0.000105046 -0.0000921316 -0.0000811241 -0.0000730849 -0.0000656391 -0.0000593971 -0.0000593971
GSP_Buckner_HU_00198 -0.00007568 -0.0000672601 -0.0000564207 -0.0000547583 -0.0000499173 -0.0000456391 -0.0000413886 -0.0000383098 -0.0000348624 -0.0000316463 -0.0000316463
GSP_Buckner_HU_00199 -0.000169872 -0.000120798 -0.0000946667 -0.0000865732 -0.0000767135 -0.0000678206 -0.0000610387 -0.0000552336 -0.0000496099 -0.0000448098 -0.0000448098
GSP_Buckner_HU_00200 -0.0000335832 -0.0000360663 -0.0000352678 -0.0000360606 -0.0000364566 -0.000034489 -0.0000315964 -0.0000300539 -0.0000273979 -0.0000248481 -0.0000248481
GSP_Buckner_HU_00202 -0.000115179 -0.0000836412 -0.0000693678 -0.000067836 -0.0000610194 -0.0000540681 -0.0000487073 -0.0000449144 -0.0000403807 -0.0000366455 -0.0000366455
GSP_Buckner_HU_00204 -0.00013099 -0.0000924883 -0.0000791892 -0.0000772877 -0.0000695541 -0.0000625241 -0.0000558583 -0.0000509305 -0.0000460523 -0.0000417182 -0.0000417182
GSP_Buckner_HU_00207 -0.000139674 -0.0000920751 -0.0000728564 -0.0000671699 -0.0000585633 -0.0000517113 -0.0000454057 -0.0000413592 -0.0000373543 -0.0000338144 -0.0000338144
GSP_Buckner_HU_00209 -0.000162633 -0.000120922 -0.0000978639 -0.0000888147 -0.0000748296 -0.0000667965 -0.0000585917 -0.0000529913 -0.0000476782 -0.0000432748 -0.0000432748
GSP_Buckner_HU_00211 -0.000159621 -0.000121598 -0.0000959514 -0.0000882439 -0.000078104 -0.0000688531 -0.0000608835 -0.0000553861 -0.0000498666 -0.0000451545 -0.0000451545
GSP_Buckner_HU_00212 -0.00011247 -0.0000753478 -0.0000651455 -0.0000635885 -0.0000578996 -0.0000524012 -0.0000472252 -0.0000435666 -0.0000393922 -0.0000356924 -0.0000356924
GSP_Buckner_HU_00217 -0.0000533465 -0.0000533392 -0.0000447228 -0.0000484115 -0.0000461964 -0.0000418767 -0.000038108 -0.0000354377 -0.0000321928 -0.0000291786 -0.0000291786
GSP_Buckner_HU_00219 -0.0001261 -0.0000857701 -0.0000664982 -0.0000639921 -0.0000563156 -0.000050637 -0.0000459668 -0.0000420109 -0.0000382329 -0.0000345813 -0.0000345813
GSP_Buckner_HU_00221 -0.000139779 -0.000103019 -0.0000839293 -0.0000789151 -0.000072035 -0.0000645613 -0.0000573996 -0.0000530113 -0.0000481447 -0.0000435979 -0.0000435979
GSP_Buckner_HU_00225 -0.0000836635 -0.0000649426 -0.0000596335 -0.0000591862 -0.0000537887 -0.0000489137 -0.0000436217 -0.0000404085 -0.0000365831 -0.0000331944 -0.0000331944
GSP_Buckner_HU_00226 -0.000126948 -0.0000875283 -0.0000687898 -0.0000644365 -0.0000573626 -0.0000511556 -0.0000462814 -0.0000427113 -0.0000387109 -0.0000350755 -0.0000350755
GSP_Buckner_HU_00228 -0.000138642 -0.0000968316 -0.0000777306 -0.0000723517 -0.0000630893 -0.0000567554 -0.000050939 -0.0000462461 -0.0000420186 -0.0000381042 -0.0000381042
GSP_Buckner_HU_00231 -0.000150302 -0.000111644 -0.0000925357 -0.0000855773 -0.0000738395 -0.0000654001 -0.0000581149 -0.0000524785 -0.0000471673 -0.0000426843 -0.0000426843
GSP_Buckner_HU_00233 -0.000107356 -0.0000845275 -0.000069824 -0.0000656574 -0.0000565349 -0.0000508972 -0.0000454532 -0.0000419757 -0.0000381731 -0.0000346368 -0.0000346368
GSP_Buckner_HU_00236 -0.000162409 -0.000106351 -0.0000905668 -0.00008127 -0.0000714018 -0.0000639295 -0.0000570113 -0.0000522677 -0.0000471372 -0.0000426673 -0.0000426673
GSP_Buckner_HU_00237 -0.00017682 -0.000130271 -0.000105755 -0.000101467 -0.0000867504 -0.0000781204 -0.0000694923 -0.0000632492 -0.0000569326 -0.0000515647 -0.0000515647
GSP_Buckner_HU_00238 -0.000153101 -0.000100978 -0.0000797049 -0.0000748897 -0.0000642512 -0.0000570531 -0.00005084 -0.0000469724 -0.0000424097 -0.0000384267 -0.0000384267
GSP_Buckner_HU_00241 -0.0000915255 -0.0000783841 -0.000067991 -0.0000687426 -0.0000606295 -0.0000529056 -0.000047073 -0.0000429417 -0.0000389253 -0.0000353149 -0.0000353149
GSP_Buckner_HU_00242 -0.000171798 -0.000130118 -0.000103926 -0.0000939639 -0.000083808 -0.0000741309 -0.0000662718 -0.0000604577 -0.0000544941 -0.0000493877 -0.0000493877
GSP_Buckner_HU_00243 -0.000222828 -0.000158286 -0.00012118 -0.000106652 -0.0000929125 -0.0000816097 -0.0000722615 -0.0000656357 -0.000059046 -0.0000534407 -0.0000534407
GSP_Buckner_HU_00244 -0.000141371 -0.000094683 -0.0000756084 -0.0000720055 -0.0000636598 -0.000056789 -0.0000503923 -0.0000458708 -0.0000413217 -0.00003744 -0.00003744
GSP_Buckner_HU_00246 -0.000150664 -0.000113451 -0.0000867672 -0.0000764352 -0.0000670762 -0.0000587015 -0.0000526275 -0.0000481936 -0.0000435981 -0.0000394481 -0.0000394481
GSP_Buckner_HU_00248 -0.000159841 -0.000119685 -0.0000921845 -0.0000846028 -0.0000745853 -0.0000673255 -0.0000601054 -0.0000547165 -0.0000493433 -0.0000446494 -0.0000446494
GSP_Buckner_HU_00250 -0.000166492 -0.000115391 -0.0000932526 -0.000082318 -0.0000716956 -0.0000626426 -0.0000551835 -0.0000499134 -0.0000447914 -0.0000405326 -0.0000405326
GSP_Buckner_HU_00251 -0.000151964 -0.000100848 -0.0000823586 -0.0000765277 -0.0000659793 -0.0000591478 -0.0000521536 -0.000047833 -0.0000431246 -0.0000390455 -0.0000390455
GSP_Buckner_HU_00253 -0.000205416 -0.00014436 -0.000112397 -0.000100161 -0.0000881879 -0.0000774706 -0.000069092 -0.0000628026 -0.0000567945 -0.0000514077 -0.0000514077
GSP_Buckner_HU_00255 -0.0000738769 -0.0000558176 -0.0000484601 -0.0000488348 -0.0000421243 -0.0000382485 -0.0000340602 -0.0000317792 -0.0000287864 -0.0000261982 -0.0000261982
GSP_Buckner_HU_00256 -0.0000850857 -0.0000773161 -0.000062671 -0.0000606537 -0.0000550124 -0.0000487712 -0.000043712 -0.0000406022 -0.0000367147 -0.0000333568 -0.0000333568
GSP_Buckner_HU_00258 -0.000178745 -0.000121694 -0.0000914581 -0.0000878677 -0.0000786009 -0.0000706522 -0.0000631372 -0.0000570731 -0.0000515735 -0.0000466468 -0.0000466468
GSP_Buckner_HU_00259 -0.000139741 -0.0000973521 -0.0000814804 -0.0000764056 -0.000066499 -0.0000599684 -0.0000523568 -0.0000474839 -0.0000428468 -0.0000388051 -0.0000388051
GSP_Buckner_HU_00260 -0.000194671 -0.000133549 -0.000103962 -0.0000969276 -0.0000847121 -0.0000746819 -0.0000664753 -0.0000602333 -0.000054331 -0.000049135 -0.000049135
GSP_Buckner_HU_00261 -0.000218565 -0.00014539 -0.000120095 -0.000108338 -0.0000940089 -0.0000829272 -0.0000739518 -0.0000669017 -0.0000604479 -0.000054696 -0.000054696
